Issues	Relationship	Link Issues
HADOOP-8874	is part of	HADOOP-8645
HADOOP-8872	is part of	HADOOP-8645
HADOOP-8869	is part of	HADOOP-8645
HADOOP-8868	is part of	HADOOP-8645
HADOOP-8847	is part of	HADOOP-8645
HADOOP-8845	incorporates	HADOOP-9068
HADOOP-8841	is part of	HADOOP-8808
HADOOP-8840	is part of	HADOOP-8838
HADOOP-8838	incorporates	HADOOP-8840
HADOOP-8840	is part of	HADOOP-8838
HADOOP-8838	incorporates	HADOOP-8840
HADOOP-8836	is part of	HADOOP-8645
HADOOP-8828	incorporates	HADOOP-10016
HADOOP-8828	incorporates	HADOOP-10017
HADOOP-8808	incorporates	HADOOP-8841
HADOOP-8763	is part of	HADOOP-8645
HADOOP-8739	is part of	HADOOP-8645
HADOOP-8734	is part of	HADOOP-8645
HADOOP-8733	is part of	HADOOP-8645
HADOOP-8732	is part of	HADOOP-8645
HADOOP-8731	is part of	HADOOP-8645
HADOOP-8694	is part of	HADOOP-8645
HADOOP-8664	is part of	HADOOP-8645
HADOOP-8657	is part of	HADOOP-8645
HADOOP-8656	is part of	HADOOP-8353
HADOOP-8645	incorporates	HADOOP-8874
HADOOP-8645	incorporates	MAPREDUCE-4386
HADOOP-8645	incorporates	HADOOP-8455
HADOOP-8645	incorporates	HADOOP-8493
HADOOP-8645	incorporates	HADOOP-8420
HADOOP-8645	incorporates	HADOOP-8487
HADOOP-8645	incorporates	HADOOP-8516
HADOOP-8645	incorporates	HADOOP-8517
HADOOP-8645	incorporates	HADOOP-8536
HADOOP-8645	incorporates	HADOOP-8540
HADOOP-8645	incorporates	HADOOP-8564
HADOOP-8645	incorporates	HADOOP-8583
HADOOP-8645	incorporates	HADOOP-8657
HADOOP-8645	incorporates	HADOOP-8664
HADOOP-8645	incorporates	HADOOP-8694
HADOOP-8645	incorporates	HADOOP-8731
HADOOP-8645	incorporates	HADOOP-8732
HADOOP-8645	incorporates	HADOOP-8733
HADOOP-8645	incorporates	HADOOP-8734
HADOOP-8645	incorporates	HADOOP-8739
HADOOP-8645	incorporates	HADOOP-8868
HADOOP-8645	incorporates	HADOOP-8869
HADOOP-8645	incorporates	HADOOP-8872
HADOOP-8645	incorporates	HADOOP-8899
HADOOP-8645	incorporates	HADOOP-8902
HADOOP-8645	incorporates	HADOOP-8903
HADOOP-8645	incorporates	HADOOP-8907
HADOOP-8645	incorporates	HADOOP-8972
HADOOP-8645	incorporates	HADOOP-9026
HADOOP-8645	incorporates	HADOOP-9027
HADOOP-8645	incorporates	HADOOP-9057
HADOOP-8645	incorporates	HADOOP-9061
HADOOP-8645	incorporates	HADOOP-9062
HADOOP-8645	incorporates	HADOOP-9074
HADOOP-8645	incorporates	HADOOP-9096
HADOOP-8645	incorporates	HADOOP-9177
HADOOP-8645	incorporates	HADOOP-9250
HADOOP-8645	incorporates	HADOOP-9452
HADOOP-8645	incorporates	HADOOP-9463
HADOOP-8645	incorporates	HADOOP-9480
HADOOP-8645	incorporates	HADOOP-9551
HADOOP-8645	incorporates	HADOOP-9552
HADOOP-8645	incorporates	HADOOP-9579
HADOOP-8645	incorporates	HADOOP-9677
HADOOP-8645	incorporates	HDFS-3763
HADOOP-8645	incorporates	HDFS-3766
HADOOP-8645	incorporates	MAPREDUCE-4510
HADOOP-8645	incorporates	MAPREDUCE-4561
HADOOP-8645	incorporates	MAPREDUCE-4564
HADOOP-8645	incorporates	MAPREDUCE-4597
HADOOP-8645	incorporates	MAPREDUCE-4598
HADOOP-8645	incorporates	MAPREDUCE-5277
HADOOP-8645	incorporates	HADOOP-8456
HADOOP-8645	incorporates	HADOOP-8457
HADOOP-8645	incorporates	HADOOP-8763
HADOOP-8645	incorporates	HADOOP-8836
HADOOP-8645	incorporates	HADOOP-8879
HADOOP-8645	incorporates	HADOOP-8935
HADOOP-8645	incorporates	HADOOP-8936
HADOOP-8645	incorporates	HADOOP-9006
HADOOP-8645	incorporates	HADOOP-9007
HADOOP-8645	incorporates	HADOOP-9472
HADOOP-8645	incorporates	HADOOP-9609
HADOOP-8645	incorporates	HDFS-4341
HADOOP-8645	incorporates	MAPREDUCE-4657
HADOOP-8645	incorporates	MAPREDUCE-5224
HADOOP-8645	incorporates	HADOOP-9036
HADOOP-8645	incorporates	HADOOP-9507
HADOOP-8645	incorporates	MAPREDUCE-4374
HADOOP-8645	incorporates	MAPREDUCE-5387
HADOOP-8645	incorporates	HADOOP-8847
HADOOP-8645	incorporates	HADOOP-8908
HADOOP-8645	incorporates	HADOOP-8601
HADOOP-8645	incorporates	HADOOP-9624
HADOOP-8645	incorporates	HADOOP-8453
HADOOP-8645	is part of	HADOOP-8079
HADOOP-8607	incorporates	HADOOP-7307
HADOOP-8601	is part of	HADOOP-8645
HADOOP-8594	incorporates	HADOOP-9285
HADOOP-8583	is part of	HADOOP-8645
HADOOP-8564	is part of	HADOOP-8645
HADOOP-8562	incorporates	HADOOP-8980
HADOOP-8562	incorporates	HADOOP-9133
HADOOP-8562	incorporates	HADOOP-8953
HADOOP-8562	incorporates	HADOOP-8954
HADOOP-8562	incorporates	HADOOP-8955
HADOOP-8562	incorporates	HADOOP-8956
HADOOP-8562	incorporates	HADOOP-8959
HADOOP-8562	incorporates	HADOOP-8960
HADOOP-8562	incorporates	HADOOP-8961
HADOOP-8562	incorporates	HADOOP-8974
HADOOP-8562	incorporates	HADOOP-8975
HADOOP-8562	incorporates	HADOOP-8976
HADOOP-8562	incorporates	HADOOP-8977
HADOOP-8562	incorporates	HADOOP-8978
HADOOP-8562	incorporates	HADOOP-8979
HADOOP-8562	incorporates	HADOOP-9005
HADOOP-8562	incorporates	HADOOP-9008
HADOOP-8562	incorporates	HADOOP-9011
HADOOP-8562	incorporates	HADOOP-9110
HADOOP-8562	incorporates	HADOOP-9144
HADOOP-8562	incorporates	HADOOP-9146
HADOOP-8562	incorporates	HADOOP-9266
HADOOP-8562	incorporates	HADOOP-9309
HADOOP-8562	incorporates	HADOOP-9313
HADOOP-8562	incorporates	HADOOP-9368
HADOOP-8562	incorporates	HDFS-4241
