Issues	Relationship	Link Issues
HADOOP-17602	is related to	YARN-10756
HADOOP-17597	is related to	HADOOP-17928
HADOOP-17593	is duplicated by	HADOOP-18092
HADOOP-17593	is related to	YARN-11068
HADOOP-17591	is duplicated by	HADOOP-17592
HADOOP-17588	is related to	HDFS-16551
HADOOP-17586	is related to	HADOOP-17571
HADOOP-17583	is related to	HADOOP-17570
HADOOP-17582	is related to	HADOOP-16748
HADOOP-17582	is related to	HADOOP-17570
HADOOP-17581	is caused by	HADOOP-17482
HADOOP-17574	is related to	HADOOP-16492
HADOOP-17573	is related to	HADOOP-16080
HADOOP-17570	is blocked by	HADOOP-16870
HADOOP-17570	is caused by	HADOOP-16748
HADOOP-17568	is related to	HADOOP-17794
HADOOP-17563	is duplicated by	HADOOP-17898
HADOOP-17558	is related to	HADOOP-17531
HADOOP-17557	is caused by	HADOOP-16748
HADOOP-17546	is broken by	HADOOP-17478
HADOOP-17541	is caused by	HADOOP-16748
HADOOP-17537	is broken by	HADOOP-13327
HADOOP-17534	is related to	HADOOP-18033
HADOOP-17532	is related to	HADOOP-17292
HADOOP-17531	is related to	HADOOP-11827
HADOOP-17515	is related to	HADOOP-17424
HADOOP-17514	is related to	HADOOP-17424
HADOOP-17511	is depended upon by	HADOOP-14661
HADOOP-17510	is duplicated by	HDFS-15805
HADOOP-17507	is duplicated by	HDFS-15802
HADOOP-17507	is related to	HDFS-15740
HADOOP-17505	is broken by	HADOOP-17079
HADOOP-17495	is related to	HADOOP-16947
HADOOP-17485	is related to	HADOOP-17079
HADOOP-17483	is duplicated by	HADOOP-17406
HADOOP-17475	is depended upon by	HADOOP-17512
HADOOP-17475	is related to	HADOOP-17797
HADOOP-17474	is duplicated by	HADOOP-17473
HADOOP-17469	is blocked by	HADOOP-13551
HADOOP-17467	is caused by	HADOOP-17079
HADOOP-17467	is required by	HADOOP-17481
HADOOP-17467	is required by	HADOOP-17488
HADOOP-17467	is required by	HADOOP-17485
HADOOP-17465	is related to	HADOOP-17496
HADOOP-17465	is related to	HDFS-15740
HADOOP-17461	is depended upon by	HADOOP-18373
HADOOP-17461	is depended upon by	HADOOP-18367
HADOOP-17461	is depended upon by	MAPREDUCE-7398
HADOOP-17461	is related to	HADOOP-18373
HADOOP-17459	is caused by	HADOOP-17365
HADOOP-17458	is related to	HADOOP-17338
HADOOP-17456	is broken by	HADOOP-17271
HADOOP-17451	is broken by	HADOOP-17271
HADOOP-17449	is duplicated by	HADOOP-17371
HADOOP-17445	is related to	HADOOP-18062
HADOOP-17441	is duplicated by	HADOOP-17371
HADOOP-17438	is required by	HADOOP-17224
HADOOP-17433	is broken by	HADOOP-17323
HADOOP-17426	is blocked by	HADOOP-17648
HADOOP-17426	is related to	HADOOP-16924
HADOOP-17424	is duplicated by	HADOOP-17387
HADOOP-17416	is required by	HADOOP-17417
HADOOP-17413	is related to	HADOOP-17156
HADOOP-17409	is duplicated by	HADOOP-17519
HADOOP-17409	is related to	HADOOP-17457
HADOOP-17409	is related to	HBASE-27042
HADOOP-17403	is broken by	HADOOP-17244
HADOOP-17403	is broken by	HADOOP-13230
HADOOP-17402	is duplicated by	HADOOP-18116
HADOOP-17401	is depended upon by	HADOOP-13972
HADOOP-17401	is depended upon by	SPARK-20153
HADOOP-17398	is caused by	HADOOP-17323
HADOOP-17398	is related to	HADOOP-17433
HADOOP-17396	is broken by	HADOOP-17365
HADOOP-17392	is caused by	HADOOP-9844
HADOOP-17390	is broken by	HADOOP-17292
HADOOP-17386	is blocked by	HADOOP-17631
HADOOP-17386	is related to	HADOOP-18313
HADOOP-17385	is caused by	HADOOP-17318
HADOOP-17379	is related to	HADOOP-17388
HADOOP-17376	is broken by	HADOOP-17365
HADOOP-17376	is related to	HADOOP-17396
HADOOP-17375	is caused by	HADOOP-17367
HADOOP-17373	is related to	HADOOP-17324
HADOOP-17372	is related to	SPARK-37771
HADOOP-17371	is related to	HADOOP-17621
HADOOP-17371	is related to	HADOOP-17625
HADOOP-17371	is related to	HADOOP-17627
HADOOP-17369	is related to	BIGTOP-3397
HADOOP-17341	is depended upon by	HADOOP-18198
HADOOP-17341	is duplicated by	HADOOP-18212
HADOOP-17340	is duplicated by	HADOOP-17361
HADOOP-17338	is duplicated by	HADOOP-17312
HADOOP-17338	is related to	HADOOP-15944
HADOOP-17338	is related to	HADOOP-18076
HADOOP-17338	is related to	HADOOP-18182
HADOOP-17338	is related to	SPARK-35406
HADOOP-17337	is broken by	HADOOP-16371
HADOOP-17332	is caused by	HADOOP-17227
HADOOP-17329	is related to	HADOOP-13428
HADOOP-17329	is related to	HADOOP-17081
HADOOP-17327	is broken by	YARN-8914
HADOOP-17327	is duplicated by	HADOOP-17324
HADOOP-17325	is broken by	HADOOP-17223
HADOOP-17325	is related to	HDFS-15680
HADOOP-17324	is broken by	HADOOP-15832
HADOOP-17319	is broken by	HADOOP-17288
HADOOP-17318	is related to	SPARK-31911
HADOOP-17318	is related to	SPARK-33230
HADOOP-17318	is related to	SPARK-33402
HADOOP-17316	is related to	MAPREDUCE-7302
HADOOP-17315	is broken by	YARN-10460
HADOOP-17309	is broken by	HADOOP-14816
HADOOP-17309	is broken by	HADOOP-16053
HADOOP-17304	is caused by	HADOOP-17208
HADOOP-17301	is broken by	HADOOP-16852
HADOOP-17297	is related to	HADOOP-17405
HADOOP-17293	is caused by	HADOOP-13230
HADOOP-17292	is related to	HADOOP-17399
HADOOP-17292	is related to	HADOOP-17464
HADOOP-17292	is related to	HDFS-15690
HADOOP-17289	is duplicated by	HADOOP-17213
HADOOP-17288	is related to	HADOOP-17439
HADOOP-17288	is related to	HADOOP-17315
HADOOP-17286	is caused by	HADOOP-17283
HADOOP-17283	is duplicated by	HADOOP-17783
HADOOP-17270	is related to	HADOOP-17144
HADOOP-17262	is caused by	YETUS-986
HADOOP-17262	is related to	HADOOP-17297
HADOOP-17261	is caused by	HADOOP-13230
HADOOP-17256	is caused by	HADOOP-8143
HADOOP-17256	is duplicated by	HADOOP-16756
HADOOP-17255	is broken by	HADOOP-13427
HADOOP-17254	is related to	YARN-8936
HADOOP-17254	is related to	HADOOP-16918
HADOOP-17253	is related to	HADOOP-14187
HADOOP-17253	is related to	HADOOP-15974
HADOOP-17253	is related to	HADOOP-17850
HADOOP-17253	is related to	HADOOP-16918
HADOOP-17253	is related to	HADOOP-15816
HADOOP-17253	is related to	HADOOP-16544
HADOOP-17251	is related to	HADOOP-16918
HADOOP-17249	is related to	HADOOP-16905
HADOOP-17249	is related to	HADOOP-16918
HADOOP-17244	is caused by	HADOOP-13230
HADOOP-17236	is related to	HDDS-4529
HADOOP-17233	is broken by	HDFS-13934
HADOOP-17223	is related to	HDDS-4464
HADOOP-17217	is fixed by	HADOOP-13230
HADOOP-17215	is related to	HADOOP-16948
HADOOP-17214	is related to	HADOOP-13971
HADOOP-17214	is related to	HIVE-3098
HADOOP-17210	is depended upon by	HADOOP-17199
HADOOP-17205	is required by	HADOOP-17125
HADOOP-17203	is caused by	HADOOP-17183
HADOOP-17202	is a child of	HADOOP-17095
HADOOP-17202	is related to	HADOOP-16734
HADOOP-17199	is depended upon by	HADOOP-17217
HADOOP-17199	is depended upon by	SPARK-35299
