YARN-11126,is related to,YARN-6840
HADOOP-18221,is a parent of,HADOOP-18230
SPARK-39094,is caused by,SPARK-31692
SPARK-39094,is related to,HADOOP-16159
SPARK-39094,is related to,SPARK-31933
SPARK-39094,is related to,SPARK-26961
YARN-11123,Dependency,YARN-11114
YARN-11123,Dependent,HADOOP-18222
YARN-11123,is caused by,HADOOP-18167
YARN-11122,Dependent,HADOOP-18222
YARN-11122,is caused by,HADOOP-18167
YARN-11122,relates to,YARN-10465
HADOOP-18219,is broken by,HADOOP-15983
HDFS-16564,is a child of,HADOOP-17193
HADOOP-18218,is related to,HADOOP-18291
HDFS-16563,causes,MAPREDUCE-7387
HDFS-16563,causes,HADOOP-18284
HDFS-16563,causes,YARN-11172
HADOOP-18214,is depended upon by,HADOOP-18198
HDFS-16551,relates to,HADOOP-17588
HADOOP-18212,duplicates,HADOOP-18178
HADOOP-18212,duplicates,HADOOP-17341
HADOOP-18212,Is contained by,HADOOP-18198
SPARK-38934,is related to,HADOOP-18233
SPARK-38934,relates to,HADOOP-18078
HADOOP-18203,is depended upon by,HADOOP-18164
HADOOP-18203,is related to,HADOOP-15133
HADOOP-18202,blocks,HADOOP-18198
HBASE-26954,blocks,HBASE-26907
HBASE-26954,is broken by,HADOOP-17424
HBASE-26954,relates to,HBASE-26965
HADOOP-18201,is caused by,HADOOP-14661
HADOOP-18201,is related to,HADOOP-18194
HADOOP-18200,relates to,HADOOP-17612
HADOOP-18198,contains,HADOOP-18212
HADOOP-18198,depends upon,HDFS-16422
HADOOP-18198,depends upon,HDFS-16437
HADOOP-18198,depends upon,HDFS-16507
HADOOP-18198,depends upon,YARN-10720
HADOOP-18198,depends upon,HADOOP-17650
HADOOP-18198,depends upon,HADOOP-18109
HADOOP-18198,depends upon,HADOOP-18160
HADOOP-18198,depends upon,HADOOP-18178
HADOOP-18198,depends upon,HDFS-16428
HADOOP-18198,depends upon,YARN-11014
HADOOP-18198,depends upon,YARN-11075
HADOOP-18198,depends upon,HADOOP-17341
HADOOP-18198,depends upon,HDFS-11041
HADOOP-18198,depends upon,HADOOP-18088
HADOOP-18198,depends upon,HDFS-16501
HADOOP-18198,depends upon,MAPREDUCE-7373
HADOOP-18198,depends upon,HADOOP-18214
HADOOP-18198,depends upon,HDFS-16355
HADOOP-18198,depends upon,HADOOP-18155
HADOOP-18198,depends upon,HADOOP-18125
HADOOP-18198,is blocked by,HADOOP-18202
HADOOP-18198,is related to,HADOOP-18293
HADOOP-18198,is related to,HADOOP-18305
HADOOP-18198,relates to,HADOOP-18290
HADOOP-18197,duplicates,HADOOP-17860
HADOOP-18195,is superceded by,HADOOP-15983
HADOOP-18194,is related to,HADOOP-18095
HADOOP-18194,is related to,HADOOP-18168
HADOOP-18194,relates to,HADOOP-18201
HADOOP-18192,is caused by,HADOOP-18088
SPARK-38706,is caused by,HADOOP-17139
MAPREDUCE-7373,is depended upon by,HADOOP-18198
HADOOP-18190,blocks,HADOOP-18367
HADOOP-18187,Is contained by,HADOOP-18181
HADOOP-18182,relates to,HADOOP-17338
HADOOP-18181,contains,HADOOP-18187
HADOOP-18181,contains,HADOOP-18318
HADOOP-18180,is duplicated by,HADOOP-18176
HADOOP-18179,depends upon,HADOOP-18028
HADOOP-18179,depends upon,HADOOP-16202
HADOOP-18179,is depended upon by,HADOOP-18067
HADOOP-18179,relates to,HADOOP-17842
HADOOP-18178,is depended upon by,HADOOP-18393
HADOOP-18178,is depended upon by,HADOOP-18198
